#060227 cs  -          Changelog created.
070528 cs  bck       Env variable allowed in backup filename.
070720 cs  celldisp  Int16 attributes in CellDisp with suffix ##Int16 in attributename.
080124 cs  applmir   Lock added for NMps cells to avoid inconsistency in application mirror.
080425 cs  wbl       Plc classes DataFRead and DataFWrite added.
110517 cs  -         NMps cells added with size 60 and 120.
111103 cs  -         DataCopy, DataReset bugfix, didn't work for attribute object references
111108 cs  wbl       NMpsCellData visibility of attributes changed
121031 cs  nmps      NMpsCell object graphs, layout fix
140513 cs  nmps      Plc data and NMps, class DataRefv added and type DataRef used for data references
140829 cs  nmps      Plc, new dataref and string function objects, DataSel, DataEqual, DataNotEqual, StrAdd, StrEqual, StrNotEqual, StrSel, StrTrim and StrParse
140829 cs  nmps      NMps class DataMux added
